29/06/2022;450;A;PYG;0,00076240;0,00076280;6852,20000000;6854,77000000
29/06/2022;460;A;UAH;0,17690000;0,17720000;29,50000000;29,54740000
29/06/2022;470;A;JPY;0,03829000;0,03830000;136,47000000;136,50000000
29/06/2022;482;A;GEL;1,76260000;1,79310000;2,91500000;2,96500000
29/06/2022;490;A;ALL;0,04584000;0,04608000;113,44000000;114,02000000
29/06/2022;495;A;HNL;0,21070000;0,21460000;24,35660000;24,80000000
29/06/2022;500;A;SLL;0,00039450;0,00040140;13021,00000000;13246,00000000
29/06/2022;503;A;MDL;0,27290000;0,27440000;19,05000000;19,15000000
29/06/2022;506;A;RON;1,10660000;1,10830000;4,71600000;4,72260000
29/06/2022;510;A;BGN;2,79840000;2,79940000;1,86710000;1,86760000
29/06/2022;530;B;GIP;6,36290000;6,36890000;1,21750000;1,21850000
29/06/2022;535;A;EGP;0,27740000;0,27860000;18,76000000;18,84000000
29/06/2022;540;B;GBP;6,35040000;6,35320000;1,21510000;1,21550000
29/06/2022;545;B;FKP;6,36290000;6,36890000;1,21750000;1,21850000
29/06/2022;560;A;LBP;0,00344100;0,00347100;1505,70000000;1518,70000000
29/06/2022;570;B;SHP;6,53170000;6,53770000;1,24980000;1,25080000
29/06/2022;575;A;SYP;0,00207900;0,00208200;2511,00000000;2514,00000000
29/06/2022;585;A;SZL;0,32120000;0,32130000;16,26800000;16,27100000
29/06/2022;603;A;LSL;0,32100000;0,32140000;16,26130000;16,28130000
29/06/2022;608;A;TMT;1,49320000;1,49770000;3,49000000;3,50000000
29/06/2022;622;A;MZN;0,08040000;0,08270000;63,20000000;65,00000000
29/06/2022;625;A;ERN;0,34500000;0,34850000;15,00000000;15,15000000
29/06/2022;630;A;NGN;0,01258000;0,01261000;414,60000000;415,60000000
29/06/2022;635;A;AOA;0,01201000;0,01253000;417,00000000;435,00000000
29/06/2022;640;A;TWD;0,17590000;0,17600000;29,69600000;29,71400000
29/06/2022;642;A;TRY;0,31390000;0,31420000;16,63460000;16,64700000
29/06/2022;660;A;PEN;1,37500000;1,38560000;3,77210000;3,80100000
29/06/2022;665;A;BTN;0,06614000;0,06617000;78,99000000;79,02000000
29/06/2022;670;A;MRO;0,01456000;0,01468000;356,00000000;359,00000000
29/06/2022;671;A;MRU;0,14310000;0,14450000;36,17010000;36,53010000
29/06/2022;680;B;TOP;2,22110000;2,31290000;0,42500000;0,44250000
29/06/2022;685;A;MOP;0,64600000;0,64670000;8,08200000;8,09000000
29/06/2022;706;A;ARS;0,04179000;0,04180000;125,04000000;125,05000000
29/06/2022;715;A;CLP;0,00564100;0,00565000;925,11000000;926,40000000
29/06/2022;720;A;COP;0,00126000;0,00126600;4128,05000000;4146,85000000
29/06/2022;721;B;COU;0,39510000;0,39510000;0,07560000;0,07560000
29/06/2022;725;A;CUP;0,21780000;0,21780000;24,00000000;24,00000000
29/06/2022;730;A;DOP;0,09551000;0,09573000;54,60000000;54,72000000
29/06/2022;735;A;PHP;0,09510000;0,09515000;54,93500000;54,95500000
29/06/2022;741;A;MXN;0,25900000;0,25910000;20,16990000;20,18040000
29/06/2022;745;A;UYU;0,13360000;0,13380000;39,07000000;39,11000000
29/06/2022;755;B;BWP;0,42330000;0,42600000;0,08100000;0,08150000
